"","Year","Ranking_Scores","Province","Topic","Media_Impact","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"1",2010,55.83,"上海","文科",0.452674897119342,15,680.747321629064,10869,6
"2",2010,5.3,"上海","文科",0.0781893004115226,9,680.747321629064,10869,13
"3",2010,5.94,"湖北","文科",0.0448559670781893,100,226.592657342657,10869,20
"4",2010,21.11,"上海","文科",0.103292181069959,4,680.747321629064,10869,20
"5",2010,2.94,"上海","文科",0.0322633744855967,8,680.747321629064,10869,14
"6",2010,11.73,"北京","文科",0.0415637860082304,4,653.387096774194,10869,22
"7",2010,1.48,"江苏","文科",NA,3,441.179426726531,10869,24
"8",2010,1.12,"江苏","文科",NA,8,441.179426726531,10869,24
"9",2010,8.61,"江苏","文科",NA,10,441.179426726531,10869,24
"10",2010,22.14,"北京","文科",0.104115226337449,3,653.387096774194,10869,20
"11",2010,7.78,"上海","文科",0.0596707818930041,5,680.747321629064,10869,21
"12",2010,28.22,"湖南","文科",0.0691358024691358,22,203.866531376834,10869,22
"13",2010,9.13,"江苏","文科",0.0335802469135802,6,441.179426726531,10869,22
"14",2010,4.55,"贵州","文科",NA,6,110.621430590896,10869,24
"15",2010,5.56,"内蒙古","文科",NA,4,396.231826280805,10869,24
"16",2010,3.85,"北京","文科",0.0502057613168724,32,653.387096774194,10869,13
"17",2010,3.77,"北京","文科",0.0388065843621399,8,653.387096774194,10869,10
"18",2010,5.45,"江苏","文科",NA,21,441.179426726531,10869,24
"19",2010,37.31,"北京","文科",0.539094650205761,37,653.387096774194,10869,7
"20",2010,95.06,"北京","文科",0.827160493827161,2,653.387096774194,10869,1
"21",2010,1.87,"北京","文科",0.0617283950617284,7,653.387096774194,10869,24
"22",2010,7.42,"江西","文科",0.042798353909465,20,172.719019206467,10869,24
"23",2010,1.57,"北京","文科",0.0269958847736626,15,653.387096774194,10869,17
"24",2010,4.46,"河北","文科",NA,4,245.017059024224,10869,24
"25",2010,7.18,"北京","文科",NA,8,653.387096774194,10869,24
"26",2010,37.23,"吉林","文科",0.0740740740740741,10,265.691445675385,10869,23
"27",2010,10.88,"湖北","文科",0.0330452674897119,12,226.592657342657,10869,24
"28",2010,NA,"黑龙江","文科",NA,1,224.437468799088,10869,24
"29",2010,NA,"河北","文科",NA,1,245.017059024224,10869,24
"30",2010,17.15,"北京","文科",0.094238683127572,4,653.387096774194,10869,19
"31",2010,8.89,"河南","文科",0.0613168724279835,12,205.337380956145,10869,24
"32",2010,53.16,"浙江","文科",0.240740740740741,12,435.794711401763,10869,11
"33",2010,6.2,"北京","文科",0.193004115226337,48,653.387096774194,10869,14
"34",2010,4.55,"四川","文科",0.0806584362139918,25,172.892852779475,10869,21
"35",2010,4.76,"海南","文科",0.035761316872428,49,191.443980233083,10869,24
"36",2010,8.75,"湖北","文科",0.0347325102880658,16,226.592657342657,10869,24
"37",2010,9.77,"四川","文科",0.0267489711934156,4,172.892852779475,10869,24
"38",2010,4.8,"辽宁","文科",NA,41,350.437687168855,10869,24
"39",2010,3.32,"辽宁","文科",NA,20,350.437687168855,10869,21
"40",2010,4.67,"湖南","文科",NA,27,203.866531376834,10869,24
"41",2010,30.09,"天津","文科",0.160082304526749,10,612.448703751954,10869,14
"42",2010,4.01,"北京","文科",0.0893004115226337,9,653.387096774194,10869,17
"43",2010,1.22,"天津","文科",NA,20,612.448703751954,10869,21
"44",2010,33.15,"湖北","文科",0.0888888888888889,24,226.592657342657,10869,19
"45",2010,4.46,"北京","文科",NA,9,653.387096774194,10869,23
"46",2010,40.14,"湖北","文科",0.179423868312757,30,226.592657342657,10869,16
"47",2010,7.95,"北京","文科",0.0637860082304527,2,653.387096774194,10869,24
"48",2010,9.94,"北京","文科",0.0406995884773663,4,653.387096774194,10869,18
"49",2010,1.5,"广东","文科",NA,2024,389.751600745512,10869,23
"50",2010,1.3,"福建","文科",0.0388477366255144,44,333.784233496999,10869,24
"51",2010,NA,"北京","文科",NA,13,653.387096774194,10869,19
"52",2010,28.98,"山东","文科",0.0888888888888889,12,357.925831283064,10869,24
"53",2010,6.53,"广东","文科",0.0477366255144033,1347,389.751600745512,10869,24
"54",2010,2.95,"广东","文科",NA,576,389.751600745512,10869,24
"55",2010,6.21,"北京","文科",0.0489711934156379,8,653.387096774194,10869,23
"56",2010,11.65,"山东","文科",0.0330864197530864,20,357.925831283064,10869,23
"57",2010,7.21,"北京","文科",0.0323456790123457,16,653.387096774194,10869,24
"58",2010,100,"北京","文科",1,12,653.387096774194,10869,1
"59",2010,18.09,"陕西","文科",NA,4,219.205795546016,10869,24
"60",2010,16.15,"广东","文科",0.0736625514403292,203,389.751600745512,10869,22
"61",2010,5.38,"北京","文科",0.258024691358025,17,653.387096774194,10869,13
"62",2010,11.77,"湖北","文科",0.0481481481481481,17,226.592657342657,10869,23
"63",2010,14.36,"甘肃","文科",0.0493827160493827,12,132.590189086895,10869,23
"64",2010,26.4,"福建","文科",0.118930041152263,22,333.784233496999,10869,17
"65",2010,3.17,"吉林","文科",NA,4,265.691445675385,10869,24
"66",2010,32.72,"广东","文科",0.226748971193416,940,389.751600745512,10869,19
"67",2010,9.33,"重庆","文科",0.0633744855967078,13,228.401888772298,10869,24
"68",2010,10.77,"江苏","文科",NA,12,441.179426726531,10869,23
"69",2010,10.93,"吉林","文科",0.03,4,265.691445675385,10869,24
"70",2010,5.11,"安徽","文科",NA,10,164.130158212363,10869,24
"71",2010,7.1,"广东","文科",0.0650205761316872,649,389.751600745512,10869,21
"72",2010,34.18,"四川","文科",0.121399176954733,16,172.892852779475,10869,21
"73",2010,3.38,"辽宁","文科",NA,14,350.437687168855,10869,23
"74",2010,28.98,"山东","文科",0.0888888888888889,19,357.925831283064,10869,20
"75",2010,11.73,"湖北","文科",0.0415637860082304,12,226.592657342657,10869,24
"76",2010,8.9,"陕西","文科",NA,6,219.205795546016,10869,24
"77",2010,5.58,"广东","文科",0.0346090534979424,1608,389.751600745512,10869,24
"78",2010,8.16,"江苏","文科",NA,11,441.179426726531,10869,24
"79",2010,28.32,"黑龙江","文科",0.0555555555555556,2,224.437468799088,10869,22
"80",2010,15.33,"重庆","文科",0.060082304526749,12,228.401888772298,10869,22
"81",2010,43.99,"江苏","文科",0.155555555555556,17,441.179426726531,10869,10
"82",2010,5.29,"广东","文科",NA,200,389.751600745512,10869,24
"83",2010,5.82,"陕西","文科",NA,10,219.205795546016,10869,24
"84",2010,13.84,"湖南","文科",0.0576131687242798,23,203.866531376834,10869,22
"85",2010,7.12,"安徽","文科",NA,6,164.130158212363,10869,24
"86",2010,5.46,"黑龙江","文科",NA,3,224.437468799088,10869,22
"87",2010,2.72,"陕西","文科",NA,2,219.205795546016,10869,24
"88",2010,7.86,"陕西","文科",NA,4,219.205795546016,10869,24
"89",2010,8.28,"湖南","文科",0.0309053497942387,22,203.866531376834,10869,24
"90",2010,11.58,"陕西","文科",0.0477366255144033,2,219.205795546016,10869,24
"91",2010,3.81,"重庆","文科",0.0306172839506173,65,228.401888772298,10869,21
"92",2010,1.81,"广东","文科",NA,354,389.751600745512,10869,24
"93",2010,NA,"陕西","文科",NA,13,219.205795546016,10869,23
"233",2011,43.63,"上海","文科",0.246558704453441,1,745.484787159199,10919,3
"234",2011,8.18,"上海","文科",0.0615384615384615,3,745.484787159199,10919,19
"235",2011,4.75,"海南","文科",0.0353036437246964,53,237.695008922918,10919,24
"236",2011,10.87,"北京","文科",0.0404858299595142,5,719.383250930221,10919,19
"237",2011,4.7,"广西","文科",0.0265991902834008,4,207.588937093275,10919,24
"238",2011,20,"北京","文科",0.108906882591093,5,719.383250930221,10919,23
"239",2011,11.94,"江苏","文科",NA,8,526.416192463409,10919,24
"240",2011,2.8,"上海","文科",0.0293927125506073,9,745.484787159199,10919,14
"241",2011,8.44,"江苏","文科",NA,13,526.416192463409,10919,23
"242",2011,1.15,"江苏","文科",NA,6,526.416192463409,10919,24
"243",2011,5.45,"上海","文科",0.0744939271255061,10,745.484787159199,10919,13
"244",2011,3.46,"江苏","文科",NA,2,526.416192463409,10919,24
"245",2011,1.33,"上海","文科",0.0293117408906883,23,745.484787159199,10919,22
"246",2011,54.89,"上海","文科",0.469635627530364,16,745.484787159199,10919,6
"247",2011,42.47,"江苏","文科",0.155060728744939,18,526.416192463409,10919,10
"248",2011,7.66,"北京","文科",NA,17,719.383250930221,10919,23
"249",2011,41.07,"湖北","文科",0.269230769230769,38,278.768311879247,10919,17
"250",2011,3.85,"北京","文科",0.0481781376518219,33,719.383250930221,10919,14
"251",2011,5.47,"内蒙古","文科",NA,5,472.13390610716,10919,24
"252",2011,29.13,"山东","文科",0.088663967611336,21,408.536202514218,10919,20
"253",2011,7.76,"北京","文科",NA,12,719.383250930221,10919,24
"254",2011,4.58,"湖南","文科",NA,27,244.105264760049,10919,24
"255",2011,1.45,"江苏","文科",NA,4,526.416192463409,10919,24
"256",2011,5.8,"陕西","文科",NA,22,271.043641231593,10919,24
"257",2011,3.65,"北京","文科",0.0320242914979757,9,719.383250930221,10919,10
"258",2011,8.25,"湖南","文科",0.0302834008097166,24,244.105264760049,10919,24
"259",2011,4.39,"北京","文科",NA,9,719.383250930221,10919,23
"260",2011,11.82,"北京","文科",0.0359919028340081,4,719.383250930221,10919,21
"261",2011,6.91,"江西","文科",0.0388259109311741,11,211.804859204515,10919,24
"262",2011,2.94,"吉林","文科",NA,4,315.57489259448,10919,24
"263",2011,1.64,"福建","文科",0.0312145748987854,48,399.055510425129,10919,24
"264",2011,NA,"河北","文科",NA,1,283.505616103203,10919,24
"265",2011,35.41,"吉林","文科",0.0680161943319838,10,315.57489259448,10919,22
"266",2011,10.81,"吉林","文科",NA,10,315.57489259448,10919,24
"267",2011,NA,"北京","文科",NA,9,719.383250930221,10919,20
"268",2011,10.15,"四川","文科",NA,7,213.619029151315,10919,24
"269",2011,94.72,"北京","文科",0.882591093117409,2,719.383250930221,10919,2
"270",2011,7.54,"北京","文科",0.0325910931174089,6,719.383250930221,10919,24
"271",2011,100,"北京","文科",1,12,719.383250930221,10919,1
"272",2011,11.06,"北京","文科",0.059919028340081,2,719.383250930221,10919,22
"273",2011,3.28,"辽宁","文科",NA,12,421.880457142857,10919,24
"274",2011,21.96,"北京","文科",0.0748987854251012,3,719.383250930221,10919,16
"275",2011,33.37,"四川","文科",0.139676113360324,20,213.619029151315,10919,20
"276",2011,21.98,"天津","文科",0.0757085020242915,2,709.961594409254,10919,20
"277",2011,29.16,"天津","文科",0.173279352226721,11,709.961594409254,10919,23
"278",2011,4.6,"北京","文科",0.240890688259109,23,719.383250930221,10919,13
"279",2011,5.85,"北京","文科",0.17004048582996,48,719.383250930221,10919,15
"280",2011,8.82,"湖北","文科",0.042914979757085,16,278.768311879247,10919,24
"281",2011,9.96,"重庆","文科",0.0603238866396761,7,274.753000395199,10919,23
"282",2011,35.65,"北京","文科",0.493927125506073,35,719.383250930221,10919,7
"283",2011,5.97,"北京","文科",0.0502024291497976,8,719.383250930221,10919,23
"284",2011,16.6,"北京","文科",0.0765182186234818,5,719.383250930221,10919,20
"285",2011,NA,"北京","文科",NA,13,719.383250930221,10919,16
"286",2011,NA,"北京","文科",NA,6,719.383250930221,10919,23
"287",2011,5.37,"江苏","文科",NA,23,526.416192463409,10919,24
"288",2011,11.21,"山东","文科",0.0284615384615385,14,408.536202514218,10919,23
"289",2011,10.24,"湖北","文科",0.030080971659919,12,278.768311879247,10919,24
"290",2011,NA,"黑龙江","文科",NA,1,270.484041373733,10919,24
"291",2011,5.8,"福建","文科",0.0269635627530364,4,399.055510425129,10919,24
"292",2011,17.08,"陕西","文科",NA,4,271.043641231593,10919,24
"293",2011,27.77,"湖南","文科",0.0761133603238866,22,244.105264760049,10919,22
"294",2011,11.63,"陕西","文科",0.0449392712550607,2,271.043641231593,10919,24
"295",2011,29.13,"山东","文科",0.088663967611336,18,408.536202514218,10919,23
"296",2011,3.11,"广东","文科",NA,555,440.698442860509,10919,24
"297",2011,4.79,"辽宁","文科",0.032914979757085,43,421.880457142857,10919,24
"298",2011,5.27,"广东","文科",NA,266,440.698442860509,10919,24
"299",2011,14.05,"湖南","文科",0.0663967611336032,24,244.105264760049,10919,21
"300",2011,1.58,"北京","文科",NA,15,719.383250930221,10919,18
"301",2011,14.61,"甘肃","文科",0.0449392712550607,26,160.968054437925,10919,24
"302",2011,1.78,"广东","文科",NA,327,440.698442860509,10919,24
"303",2011,26.73,"陕西","文科",0.0898785425101215,2,271.043641231593,10919,22
"304",2011,3.38,"辽宁","文科",NA,20,421.880457142857,10919,24
"305",2011,52.91,"浙江","文科",0.261133603238866,16,508.992180313632,10919,9
"306",2011,6.61,"广东","文科",0.0522267206477733,1265,440.698442860509,10919,23
"307",2011,26.03,"福建","文科",0.17085020242915,25,399.055510425129,10919,18
"308",2011,5.11,"黑龙江","文科",NA,3,270.484041373733,10919,24
"309",2011,NA,"陕西","文科",NA,19,271.043641231593,10919,23
"310",2011,3.77,"重庆","文科",0.0389878542510121,67,274.753000395199,10919,22
"311",2011,7.36,"广东","文科",0.0680161943319838,601,440.698442860509,10919,19
"312",2011,4.34,"四川","文科",0.0518218623481781,24,213.619029151315,10919,20
"313",2011,1.47,"广东","文科",0.0279757085020243,1993,440.698442860509,10919,22
"314",2011,16.47,"广东","文科",0.0748987854251012,205,440.698442860509,10919,21
"315",2011,6.25,"广东","文科",0.0404858299595142,1499,440.698442860509,10919,24
"316",2011,1.39,"天津","文科",NA,18,709.961594409254,10919,22
"317",2011,15.19,"重庆","文科",0.0712550607287449,10,274.753000395199,10919,22
"318",2011,7.28,"安徽","文科",NA,10,207.486192019071,10919,24
"319",2011,11.82,"湖北","文科",0.0359919028340081,16,278.768311879247,10919,24
"320",2011,5,"安徽","文科",NA,10,207.486192019071,10919,24
"321",2011,33.78,"广东","文科",0.259514170040486,925,440.698442860509,10919,17
"322",2011,11.7,"湖北","文科",0.0643724696356275,17,278.768311879247,10919,23
"323",2011,5,"贵州","文科",NA,2,132.283989652199,10919,24
"324",2011,4.39,"河北","文科",NA,4,283.505616103203,10919,24
"325",2011,8.94,"河南","文科",0.0672064777327935,10,245.520532200943,10919,24
"326",2011,8.57,"江苏","文科",0.0274898785425101,6,526.416192463409,10919,23
"327",2011,33.77,"湖北","文科",0.116599190283401,22,278.768311879247,10919,23
"328",2011,5.78,"湖北","文科",0.0493927125506073,97,278.768311879247,10919,20
"472",2012,42.52,"上海","文科",0.165558912386707,1,817.721707718129,10000,12
"473",2012,8.58,"河南","文科",0.0673716012084592,26,286.859198316191,10000,24
"474",2012,21.25,"上海","文科",0.0894259818731118,8,817.721707718129,10000,19
"475",2012,33.77,"广东","文科",0.250453172205438,914,506.523369823893,10000,18
"476",2012,8.16,"上海","文科",0.0719033232628399,3,817.721707718129,10000,22
"477",2012,4.94,"广西","文科",0.0269788519637462,5,252.333046286329,10000,24
"478",2012,5.92,"上海","文科",0.0676737160120846,11,817.721707718129,10000,14
"479",2012,5.48,"新疆","文科",NA,2,299.271973233245,10000,24
"480",2012,34.56,"湖北","文科",0.150151057401813,19,340.956234803751,10000,21
"481",2012,1.3,"上海","文科",0.0256495468277946,23,817.721707718129,10000,21
"482",2012,2.86,"上海","文科",0.0283987915407855,5,817.721707718129,10000,16
"483",2012,12.25,"江苏","文科",0.0241087613293051,2,621.743376782527,10000,24
"484",2012,1.24,"江苏","文科",NA,6,621.743376782527,10000,24
"485",2012,4.77,"江苏","文科",0.0241087613293051,9,621.743376782527,10000,24
"486",2012,55.57,"上海","文科",0.453172205438066,12,817.721707718129,10000,5
"487",2012,4.9,"北京","文科",0.242900302114804,23,805.108986426236,10000,14
"488",2012,42.9,"江苏","文科",0.169184290030211,16,621.743376782527,10000,10
"489",2012,19.6,"北京","文科",0.0921148036253776,5,805.108986426236,10000,22
"490",2012,5.92,"北京","文科",0.0374622356495468,7,805.108986426236,10000,22
"491",2012,96.18,"北京","文科",0.898972809667674,4,805.108986426236,10000,1
"492",2012,5.82,"内蒙古","文科",NA,6,578.628445708806,10000,24
"493",2012,NA,"北京","文科",NA,11,805.108986426236,10000,20
"494",2012,8.95,"江苏","文科",NA,8,621.743376782527,10000,23
"495",2012,4.6,"北京","文科",NA,8,805.108986426236,10000,23
"496",2012,11.26,"北京","文科",0.0537764350453172,3,805.108986426236,10000,22
"497",2012,11.85,"北京","文科",0.0368580060422961,4,805.108986426236,10000,22
"498",2012,6.11,"江苏","文科",NA,8,621.743376782527,10000,24
"499",2012,3.89,"北京","文科",0.0450151057401813,33,805.108986426236,10000,15
"500",2012,36.61,"江苏","文科",0.578851963746224,6,621.743376782527,10000,19
"501",2012,8.61,"江苏","文科",0.027583081570997,8,621.743376782527,10000,22
"502",2012,1.76,"江苏","文科",NA,4,621.743376782527,10000,24
"503",2012,56.1,"浙江","文科",0.25226586102719,16,591.595277320154,10000,9
"504",2012,10.66,"北京","文科",0.0537764350453172,5,805.108986426236,10000,18
"505",2012,6.61,"江西","文科",0.040785498489426,10,260.732651080943,10000,24
"506",2012,21.85,"北京","文科",0.0628398791540786,3,805.108986426236,10000,16
"507",2012,11.08,"吉林","文科",0.024833836858006,4,384.403562946232,10000,24
"508",2012,4.6,"河北","文科",NA,4,338.591618546207,10000,24
"509",2012,4.75,"辽宁","文科",NA,45,507.111567419576,10000,24
"510",2012,3.61,"北京","文科",0.0371601208459214,8,805.108986426236,10000,23
"511",2012,36.61,"北京","文科",0.578851963746224,36,805.108986426236,10000,9
"512",2012,NA,"北京","文科",NA,19,805.108986426236,10000,17
"513",2012,10.33,"四川","文科",0.0277039274924471,6,261.20099378882,10000,23
"514",2012,8.11,"北京","文科",0.0240483383685801,12,805.108986426236,10000,23
"515",2012,11.85,"湖北","文科",0.0368580060422961,14,340.956234803751,10000,24
"516",2012,27.62,"湖南","文科",0.0645015105740181,20,298.22245133119,10000,22
"517",2012,2.98,"吉林","文科",NA,4,384.403562946232,10000,24
"518",2012,6.45,"北京","文科",0.167673716012085,43,805.108986426236,10000,16
"519",2012,1.51,"天津","文科",NA,15,834.744348801843,10000,22
"520",2012,NA,"北京","文科",NA,6,805.108986426236,10000,24
"521",2012,8.53,"北京","文科",NA,10,805.108986426236,10000,24
"522",2012,5.97,"陕西","文科",NA,20,334.285332620892,10000,24
"523",2012,4.36,"广东","文科",NA,60,506.523369823893,10000,24
"524",2012,16.73,"广东","文科",0.0830815709969789,258,506.523369823893,10000,21
"525",2012,1.48,"北京","文科",NA,15,805.108986426236,10000,20
"526",2012,100,"北京","文科",1,12,805.108986426236,10000,2
"527",2012,3.71,"重庆","文科",0.0401812688821752,70,342.972593353888,10000,22
"528",2012,6.64,"广东","文科",0.0504531722054381,1192,506.523369823893,10000,24
"529",2012,14.47,"重庆","文科",0.0719033232628399,11,342.972593353888,10000,22
"530",2012,27.84,"天津","文科",0.152296072507553,12,834.744348801843,10000,18
"531",2012,11.11,"山东","文科",0.0311178247734139,18,470.691907563034,10000,22
"532",2012,7.47,"北京","文科",0.0380664652567976,4,805.108986426236,10000,24
"533",2012,33.68,"吉林","文科",0.075226586102719,12,384.403562946232,10000,21
"534",2012,15.14,"北京","文科",0.0767371601208459,5,805.108986426236,10000,19
"535",2012,25.42,"福建","文科",0.146525679758308,23,472.047849462366,10000,18
"536",2012,4.36,"湖南","文科",0.0240785498489426,25,298.22245133119,10000,24
"537",2012,3.37,"辽宁","文科",NA,14,507.111567419576,10000,23
"538",2012,13.92,"湖南","文科",0.0564954682779456,23,298.22245133119,10000,21
"539",2012,6.15,"广东","文科",0.0323262839879154,1423,506.523369823893,10000,24
"540",2012,3.16,"广东","文科",NA,578,506.523369823893,10000,24
"541",2012,4.45,"四川","文科",0.0380664652567976,24,261.20099378882,10000,19
"542",2012,5.02,"黑龙江","文科",NA,3,328.168158142519,10000,24
"543",2012,1.66,"广东","文科",NA,303,506.523369823893,10000,24
"544",2012,13.82,"甘肃","文科",0.0522658610271903,26,195.787753637601,10000,23
"545",2012,5.91,"福建","文科",0.0263746223564955,4,472.047849462366,10000,24
"546",2012,4.76,"海南","文科",0.0435045317220544,52,287.521940322323,10000,24
"547",2012,5.87,"湖北","文科",0.0492447129909366,100,340.956234803751,10000,23
"548",2012,27.49,"山东","文科",0.102719033232628,25,470.691907563034,10000,24
"549",2012,26.43,"陕西","文科",0.0667673716012085,2,334.285332620892,10000,19
"550",2012,39.37,"湖北","文科",0.222356495468278,38,340.956234803751,10000,19
"551",2012,27.49,"山东","文科",0.102719033232628,20,470.691907563034,10000,24
"552",2012,32.23,"四川","文科",0.136253776435045,16,261.20099378882,10000,19
"553",2012,10.52,"重庆","文科",0.0525679758308157,6,342.972593353888,10000,23
"554",2012,3.18,"辽宁","文科",NA,21,507.111567419576,10000,22
"555",2012,4.92,"贵州","文科",NA,6,164.365523205535,10000,24
"556",2012,8.48,"陕西","文科",NA,4,334.285332620892,10000,24
"557",2012,15.62,"陕西","文科",0.0246525679758308,2,334.285332620892,10000,23
"558",2012,8.2,"广东","文科",0.0803625377643505,547,506.523369823893,10000,20
"559",2012,11.86,"湖北","文科",0.0664652567975831,24,340.956234803751,10000,23
"560",2012,8.22,"湖南","文科",0.0335347432024169,24,298.22245133119,10000,24
"561",2012,1.78,"福建","文科",0.0344410876132931,47,472.047849462366,10000,24
"562",2012,NA,"陕西","文科",NA,18,334.285332620892,10000,23
"563",2012,3.4,"江苏","文科",NA,2,621.743376782527,10000,24
"564",2012,1.37,"广东","文科",0.028036253776435,1940,506.523369823893,10000,23
"565",2012,4.75,"安徽","文科",0.0264350453172205,16,256.378183646113,10000,24
"566",2012,3.26,"陕西","文科",NA,8,334.285332620892,10000,24
"567",2012,10.73,"湖北","文科",0.0308157099697885,16,340.956234803751,10000,24
"568",2012,11.59,"陕西","文科",0.0486404833836858,2,334.285332620892,10000,23
"569",2012,9.11,"湖北","文科",0.0344410876132931,16,340.956234803751,10000,24
"716",2013,55.87,"上海","文科",0.489051094890511,15,847.818251324341,12924,5
"717",2013,4.21,"黑龙江","文科",NA,4,357.105820492222,12924,24
"718",2013,9.61,"四川","文科",0.0277372262773723,12,295.594462742379,12924,24
"719",2013,1.42,"上海","文科",0.0257907542579075,26,847.818251324341,12924,20
"720",2013,27.91,"天津","文科",0.157177615571776,18,912.42118671054,12924,17
"721",2013,5.15,"上海","文科",0.0695863746958637,13,847.818251324341,12924,14
"722",2013,37.85,"广东","文科",0.253041362530414,837,538.681517840287,12924,16
"723",2013,4.46,"北京","文科",0.245742092457421,28,864.031314937418,12924,23
"724",2013,4.79,"广西","文科",0.0272506082725061,6,278.408799658266,12924,24
"725",2013,NA,"北京","文科",NA,13,864.031314937418,12924,18
"726",2013,9.21,"上海","文科",0.070316301703163,3,847.818251324341,12924,20
"727",2013,5.22,"北京","文科",0.0369829683698297,11,864.031314937418,12924,22
"728",2013,3.88,"北京","文科",0.0457420924574209,38,864.031314937418,12924,23
"729",2013,10.71,"江苏","文科",0.0233576642335766,2,682.555006452037,12924,23
"730",2013,14.04,"北京","文科",0.0778588807785888,8,864.031314937418,12924,24
"731",2013,8.33,"江苏","文科",NA,10,682.555006452037,12924,23
"732",2013,18.73,"上海","文科",0.0912408759124088,8,847.818251324341,12924,17
"733",2013,37.06,"湖北","文科",0.219951338199513,41,385.022495241391,12924,16
"734",2013,2.53,"上海","文科",0.0279805352798054,4,847.818251324341,12924,19
"735",2013,47.62,"上海","文科",0.165693430656934,1,847.818251324341,12924,3
"736",2013,3.42,"江苏","文科",NA,2,682.555006452037,12924,23
"737",2013,3.22,"北京","文科",0.0360097323600973,7,864.031314937418,12924,12
"738",2013,19.81,"北京","文科",0.0600973236009732,3,864.031314937418,12924,17
"739",2013,100,"北京","文科",1,18,864.031314937418,12924,1
"740",2013,6.38,"江西","文科",0.0413625304136253,14,287.501669929704,12924,24
